id,Feature1,Feature2,CategoricalFeature,ClassLabel
M9baFp,41,0.3,CategoryA,0
cAj2kR,0,0.5,CategoryC,0
c9h3OD,16,0.1,CategoryB,0
Y5eXj8,66,1.0,CategoryC,1
v69tk7,40,0.4,CategoryA,0
32cbGi,64,0.9,CategoryB,1
99720Q,16,0.0,CategoryC,0
j83b8J,77,0.4,CategoryA,1
8OlB0F,88,0.9,CategoryA,1
4b08QH,85,0.4,CategoryD,1
05jq5F,77,0.1,,0
B639Fq,20,0.0,CategoryC,0
5bOmA0,21,0.0,CategoryD,0
bl77x6,88,0.3,CategoryB,1
nL8wtX,9,0.5,CategoryA,0
Tt75Ut,75,0.5,CategoryB,1
61hG8L,94,0.7,CategoryB,1
7VpJKY,17,0.1,CategoryC,0
0CH5yh,2,0.9,,1
s0L9ha,47,0.4,CategoryD,1
8k6ODB,17,1.0,CategoryB,1
uwhepD,30,0.6,CategoryC,1
QIy3r7,65,0.8,CategoryA,1
CW5W4F,81,0.1,CategoryC,0
PKQfo0,32,0.6,CategoryA,1
GC5jwe,30,0.7,CategoryC,1
Qm8ZWM,37,0.1,CategoryC,0
0gvnqy,55,0.1,CategoryC,0
GApk5c,99,0.3,CategoryB,1
pvQ9Jo,24,0.4,CategoryC,0
NpDy1l,66,0.4,CategoryD,1
85QHY3,91,0.8,CategoryD,1
jx5890,15,0.0,CategoryA,0
n66B28,59,0.8,CategoryD,1
r1V75b,11,0.4,,0
bPBJeF,60,0.9,CategoryB,1
F3G0oC,23,0.5,CategoryD,0
6512Fm,86,0.2,CategoryB,1
R098xh,97,0.0,CategoryD,0
D9Ogm2,48,0.4,,1
26C5E2,62,0.9,CategoryA,1
694R7A,36,0.1,CategoryB,0
1JBTa1,35,0.1,CategoryC,0
oRR5Fm,65,0.7,CategoryD,1
75bCb0,57,0.4,CategoryD,1
T2RYpg,47,0.9,CategoryC,1
6bS6gI,86,0.7,CategoryB,1
HpCKRh,24,0.6,CategoryD,1
HCq448,67,0.0,CategoryD,0
0D1CC5,58,0.5,CategoryB,1
6bJg6f,44,0.4,CategoryA,1
ZL7A11,81,0.4,CategoryC,1
vObGqp,26,0.5,CategoryD,1
1D7vvK,51,0.4,CategoryB,1
NYS8N8,42,0.7,CategoryC,1
3zNkd0,3,0.2,CategoryB,0
53BA71,50,0.6,CategoryA,1
6159DL,63,0.3,CategoryA,1
H88R1N,42,0.6,CategoryD,1
L22v81,76,0.1,CategoryA,0
o0Omdx,70,0.8,CategoryD,1
61z7K9,21,0.4,CategoryB,0
74p6gz,53,0.5,CategoryC,1
r6W3gD,17,0.2,CategoryD,0
48isd3,52,1.0,CategoryB,1
hn4Ig1,13,0.4,CategoryC,0
u29XaZ,34,0.6,CategoryC,1
IFyRj0,87,0.4,CategoryD,1
Df9K0Y,100,,CategoryD,
0CeF50,57,0.1,,0
V6D0iW,5,0.3,CategoryA,0
ne6X5B,71,0.2,CategoryB,1
v2fDSI,99,0.2,CategoryA,1
7z9h7Y,44,0.5,CategoryC,1
xu7LXq,15,0.7,CategoryD,1
B2MSRa,92,0.6,CategoryC,1
oNmCJh,72,0.4,CategoryC,1
33iliv,8,0.2,CategoryA,0
Cp2d9h,36,0.3,CategoryB,0
4031J4,39,0.5,CategoryB,1
9202c5,82,0.9,CategoryB,1
0LlR12,63,1.0,CategoryB,1
U6MxTz,99,0.9,CategoryD,1
2z5D13,94,0.1,CategoryD,1
71PV3m,83,0.7,CategoryC,1
1U2GVF,88,1.0,CategoryC,1
W143Hg,68,0.5,CategoryB,1
V7s140,56,0.7,CategoryA,1
LUv3Ty,3,,CategoryC,
WHAm0J,6,0.4,CategoryB,0
V5d7al,47,0.2,CategoryA,0
m6jE7Z,8,0.8,CategoryD,1
dPTHby,94,0.1,CategoryB,1
jpg9HU,4,,CategoryD,
5O81M9,43,0.9,CategoryD,1
cbZBmY,83,0.4,CategoryD,1
nQRG67,3,0.2,CategoryC,0
XuCP86,17,0.2,CategoryB,0
tL4N1d,30,0.4,CategoryD,0
7N21t3,0,0.0,CategoryC,0
48Zz66,61,0.2,CategoryA,0
0jrCJ3,85,0.9,CategoryB,1
EJccaA,37,0.6,CategoryD,1
7q82Tw,61,1.0,CategoryB,1
S51c7m,55,,CategoryC,
R313iG,24,0.0,CategoryB,0
e7j4Uh,23,0.7,CategoryD,1
3h26eE,12,0.4,CategoryA,0
nJeoON,14,0.4,CategoryA,0
Zjp0gc,32,0.3,CategoryB,0
PACa0e,50,0.5,CategoryA,1
bliO51,50,0.4,CategoryB,1
9QC8Ud,13,0.0,CategoryC,0
A1k83j,98,0.9,CategoryA,1
4nseHp,55,0.1,CategoryD,0
Y3VIHc,99,0.8,CategoryD,1
UHr06M,20,,CategoryC,
7yAxLj,32,0.4,CategoryB,0
8i0p53,85,0.9,CategoryC,1
21O5h3,66,,CategoryD,
55nXQ5,75,0.6,CategoryA,1
h0l645,6,0.3,CategoryD,0
XJjkLt,40,0.2,CategoryB,0
m3UVU2,24,0.6,CategoryB,1
h5QVo4,33,0.3,CategoryB,0
1XCAd6,63,0.3,CategoryA,1
l5r8zv,56,0.7,CategoryA,1
7FFr9T,56,0.3,CategoryC,1
5HoAaJ,93,0.6,CategoryC,1
0CFkGP,82,0.6,CategoryA,1
s5k00I,25,0.2,CategoryD,0
Ys1x6P,32,0.0,CategoryD,0
qv06Qo,51,0.2,CategoryC,0
BUT0tE,99,0.3,CategoryC,1
9eaD1f,24,,CategoryC,
Olv5S8,53,,CategoryB,
1TKIt2,42,0.2,CategoryA,0
7f384h,75,0.2,CategoryB,1
4YlwB7,18,,CategoryC,
Awtvvu,73,0.9,CategoryD,1
