id,Feature1,Feature2,CategoricalFeature,ClassLabel
03zfeI,37,0.8,CategoryA,1
Z03hu2,6,0.4,CategoryA,0
0T48F6,68,0.6,CategoryC,1
02PwY0,4,0.3,CategoryC,0
XTIw37,17,0.1,CategoryC,0
MWI5cN,76,0.1,CategoryA,0
TT3EL7,59,0.5,CategoryC,1
A8D3cx,40,0.7,CategoryC,1
Lk54qb,89,0.4,CategoryC,1
8cD46B,97,0.0,CategoryA,0
caS43C,95,0.8,CategoryC,1
k664Pg,45,0.8,CategoryB,1
3EKyH5,56,0.5,CategoryA,1
6JsO9K,70,0.0,CategoryB,0
r6rr3y,50,0.2,CategoryB,0
KwOd4c,75,0.7,CategoryB,1
1SE56g,30,0.7,CategoryC,1
v16qB3,96,0.5,CategoryB,1
I9yWDn,16,0.1,CategoryA,0
ZNP0U3,63,0.5,CategoryB,1
wQd069,92,0.6,CategoryB,1
6P3B2N,82,0.1,CategoryB,0
01n3tt,15,0.2,CategoryA,0
2jB2fH,91,0.6,CategoryA,1
1oL2d6,15,0.2,CategoryB,0
Xs5BoK,15,0.7,CategoryB,1
AOY7t0,75,0.1,CategoryC,0
369xd8,24,1.0,CategoryB,1
HZU8uP,51,0.4,CategoryB,1
m1ELdU,14,0.6,CategoryB,1
Ar3YkF,13,0.6,CategoryB,1
7vswx5,83,1.0,CategoryB,1
83u2R0,2,0.8,CategoryC,1
hwZl5k,4,0.4,CategoryA,0
O3g0IW,31,0.1,CategoryC,0
1G3fun,37,0.4,CategoryA,0
3N08rA,51,0.6,CategoryB,1
uJ3F6s,17,0.7,CategoryA,1
6q7z0K,66,0.4,CategoryB,1
7tCC2h,65,0.9,CategoryA,1
4n6vpv,12,0.2,CategoryC,0
bBnJ7e,3,0.9,CategoryB,1
up1mdP,13,0.7,CategoryB,1
SDeIBW,20,0.1,CategoryC,0
rPT2Gy,17,0.8,CategoryB,1
yCjWC1,7,0.7,CategoryA,1
9O69Gk,13,0.7,CategoryC,1
258ary,18,0.3,CategoryA,0
B8GB71,11,0.9,CategoryA,1
ZE8pjE,85,0.8,CategoryB,1
4D6Cyy,47,0.9,CategoryC,1
7b8161,88,0.3,CategoryB,1
GxLLTh,12,0.6,CategoryB,1
zJ4veW,100,0.2,CategoryA,1
Xr40Yp,52,0.9,CategoryB,1
2bxTjP,100,0.1,CategoryB,1
31Dy6n,49,0.2,CategoryA,0
YmBRAL,65,0.3,CategoryC,1
xsGdL8,35,0.0,CategoryA,0
hGam21,24,0.6,CategoryC,1
orsKEB,90,0.1,CategoryA,1
V21ei7,62,0.5,CategoryC,1
cJUbV2,81,0.6,CategoryB,1
i0L82g,23,0.5,CategoryB,0
8B3409,47,0.8,CategoryA,1
x87H05,13,0.7,CategoryC,1
5yW68U,77,0.9,CategoryB,1
2AJMc7,43,0.3,CategoryB,0
ErHDq4,60,0.2,CategoryA,0
7HfzkD,41,0.8,CategoryA,1
IsZ5DW,55,0.4,CategoryA,1
Tbt53X,56,0.4,CategoryA,1
Q0Ql0Z,72,0.9,CategoryB,1
5A9ksb,88,0.0,CategoryB,0
Pq1k4n,45,0.7,CategoryA,1
95MrC3,66,0.3,CategoryC,1
16Cp8i,84,0.7,CategoryA,1
TbJQF6,61,0.0,CategoryB,0
4AT29T,100,0.1,CategoryC,1
88F2r8,84,1.0,CategoryB,1
6lv5Bi,94,0.6,CategoryB,1
2e7PWD,28,0.2,CategoryB,0
37mHSE,81,0.9,CategoryC,1
6994n7,62,0.2,CategoryB,0
lGUz8j,43,0.9,CategoryC,1
Q3Se0N,2,0.1,CategoryA,0
3ytXOB,90,0.9,CategoryB,1
4Pm0fa,9,0.3,CategoryB,0
J2p9a9,8,0.8,CategoryB,1
es2L3V,26,0.6,CategoryA,1
371ixl,23,0.1,CategoryA,0
gN2K81,81,0.4,CategoryC,1
w9bM3o,49,0.3,CategoryA,0
KSdbSk,29,0.7,CategoryC,1
Lul6ew,79,0.0,CategoryB,0
u0x6ZK,58,0.3,CategoryB,1
Sqwp7I,57,0.9,CategoryA,1
I51a5L,41,0.0,CategoryC,0
ElpShU,92,0.6,CategoryA,1
EBMn69,25,0.4,CategoryB,0
tyC33y,59,0.2,CategoryC,0
OpSL64,56,0.3,CategoryB,1
0CoZr8,57,0.6,CategoryC,1
f9Tnot,50,0.7,CategoryB,1
l0K4Jd,39,0.7,CategoryA,1
9GY9PB,31,0.2,CategoryA,0
8v84fZ,30,0.4,CategoryA,0
lz8CaA,11,0.6,CategoryA,1
0kH7w9,94,0.2,CategoryC,1
3SJ913,64,0.5,CategoryC,1
e1OM3e,42,0.6,CategoryB,1
NJw08j,100,0.8,CategoryC,1
0k4DEr,89,0.9,CategoryC,1
DkqhgE,20,0.6,CategoryA,1
xv7S3E,41,0.8,CategoryA,1
369qrr,83,0.1,CategoryC,0
nPdR88,14,0.1,CategoryC,0
nvrmEO,12,0.6,CategoryA,1
7QvEOr,60,0.3,CategoryA,1
C3fek3,47,0.5,CategoryA,1
C2e6pF,6,0.1,CategoryC,0
K7MQqw,46,0.3,CategoryB,0
i0XvFX,14,0.0,CategoryC,0
8TRc2x,69,0.9,CategoryB,1
l7xRrm,52,0.7,CategoryB,1
dOaBeD,43,0.4,CategoryB,1
NUfWXT,83,1.0,CategoryA,1
3pfW1N,34,0.4,CategoryB,0
a358h1,49,0.7,CategoryA,1
Q65aUP,28,0.8,CategoryB,1
uqh7CR,57,0.7,CategoryC,1
NNo91n,81,0.3,CategoryC,1
t2EWd3,41,0.7,CategoryA,1
w4RoCN,11,0.0,CategoryB,0
n3jwfH,75,0.5,CategoryC,1
MLFtNU,63,0.3,CategoryB,1
012gIf,26,0.5,CategoryC,1
NN29Xi,40,0.6,CategoryC,1
7INSY0,97,0.3,CategoryA,1
zE8J2Y,0,0.6,CategoryB,0
s6w20V,49,0.7,CategoryA,1
